picture,location_active,location_sec,active_hand_hs,secondary_hand_hs,tense_lax_active,tense_lax_sec
beg_frame2,,,12,12,,
bejsbol_frame2,,,1,,,
Bel'gija_frame1,,,70,,,
belka_frame1,,,92,,,
belka_frame2,,,92,,,
belyj_frame2,,,103,,,
bereg_frame1,,,75,69,,
bereg_frame2,,,75,69,,
beremennaja_frame1,,,87,,,
beremennaja_frame2,,,87,,,
beremennost'_frame1,,,87,,,
beremennost'_frame2,,,87,,,
beshenyj_frame1,,,24,,,
besplatno_frame1,,,71,71,,
besplatno_frame2,,,71,71,,
besplatnyj_frame1,,,71,71,,
besplatnyj_frame2,,,71,71,,
bespokoit'sja_frame1,,,59,71,,0
bespokoit'sja_frame2,,,59,71,,0
bespokojaszij_frame1,,,103,,,
bespokojaszij_frame2,,,103,,,
bespokojstvo_frame2,,,78,,,
besporjadok_frame1,,,87,,0,
besporjadok_frame2,,,87,,0,
bessoznatel'noe_frame1,,,87,,,
bessoznatel'noe_frame2,,,87,,,
bessoznatel'nyj_frame1,,,163,,,
bessoznatel'nyj_frame2,,,163,,,
bezgramotnyj_frame1,,,103,87,,0
bezgramotnyj_frame2,,,103,87,,0
bezhat'_frame1,,,21,21,,
bezrazlichie_frame1,,,152,,,
bezrazlichie_frame2,,,152,,,
bezumno ustat'_frame2,,,87,,,
bez_frame1,,,71,71,,
bikini_frame2,,,111,111,,
bil'jard_frame1,,,24,69,,
bil'jard_frame2,,,24,69,,
bilingvizm_frame2,,,164,164,,
binokl'_frame2,,,135,135,,
bipoljarnoe rasstrojstvo_frame1,,,95,95,,
bipoljarnoe rasstrojstvo_frame2,,,1,1,,
bit' molotkom_frame1,,,25,,,
bit' molotkom_frame2,,,25,,,
bitva_frame2,,,91,91,0,0
bjustgal'ter_frame2,,,110,110,,
blagodarenie_frame2,,,1,,,
blagogovenie_frame1,,,30,30,,
blagopoluchie_frame2,,,125,125,,
blank_frame1,,,110,71,,
blesk_frame1,,,71,71,0,0
blesk_frame2,,,71,71,0,0
blestjaszij_frame1,,,69,69,,
blin_frame1,,,152,152,,
blin_frame2,,,152,152,,
blizkij_frame1,,,71,71,,
blizkij_frame2,,,71,71,,
blizost'_frame1,,,71,71,,
bljudce_frame2,,,137,137,,
blokada_frame1,,,3,3,,
blokada_frame2,,,3,3,,
blokirovka_frame1,,,69,69,,
blokirovka_frame2,,,69,69,,
bob fasol'_frame1,,,144,,,
bobovye_frame1,,,144,,,
bogatstvo_frame1,,,96,,0,
bogatstvo_frame2,,,96,,0,
bogatyj_frame1,,,96,,0,
boj_frame1,,,79,79,,
boks_frame1,,,1,1,,
boks_frame2,,,1,1,,
bol'nica_frame2,,,15,,,
bol'nichnyj list_frame2,,,14,71,,
bol'noe gorlo_frame2,,,104,,,
bol'noj_frame1,,,144,,,
bol'she ne_frame1,,,72,,,
bol'she ne_frame2,,,72,,,
bol'shinstvo_frame2,,,87,87,0,0
bol'shoj_frame2,,,87,87,0,0
bol'_frame2,,,144,,,
bolezn'_frame1,,,144,,,
bolezn'_frame2,,,144,,,
boleznennyj_frame1,,,144,,,
boleznennyj_frame2,,,144,,,
boltat'_frame1,,,69,,0,
boltat'_frame2,,,73,,0,
boltovnja_frame1,,,73,73,,
boltovnja_frame2,,,73,73,,
bombit'_frame1,,,1,1,,
bombit'_frame2,,,1,1,,
bondazh_frame1,,,166,,,
bor'ba_frame1,,,21,21,,
borodatyj_frame2,,,125,,,
borodavka_frame1,,,97,,,
borodavka_frame2,,,97,,,
boroda_frame1,,,78,,,
borot'sja_frame1,,,21,21,,
borot'sja_frame2,,,21,21,,
boss shishka_frame1,,,97,3,,
boss shishka_frame2,,,97,3,,
botinki_frame1,,,96,,0,
botinki_frame2,,,96,,0,
bouling_frame1,,,74,,,
brasletka_frame2,,,111,,,
braslet_frame1,,,159,,,
braslet_frame2,,,159,,,
brass_frame1,,,69,69,0,0
brass_frame2,,,69,69,0,0
brat_frame1,,,13,13,,
brat_frame2,,,13,13,,
brauzer_frame1,,,15,15,,
brauzer_frame2,,,15,15,,
Brazilija_frame1,,,3,,,
Brazilija_frame2,,,3,,,
brekety_frame1,,,21,,,
brekety_frame2,,,21,,,
brit'_frame1,,,21,,,
brit'_frame2,,,21,,,
brjuki_frame2,,,68,68,,
brodit'_frame1,,,51,,,
brodit'_frame2,,,59,,,
bronhit_frame1,,,79,,,
bronhit_frame2,,,79,,,
bronirovat'_frame2,,,96,71,,0
brosh'_frame2,,,41,,,
brov'_frame1,,,14,,,
brov'_frame2,,,14,,,
buduszee_frame1,,,71,,,
buduszee_frame2,,,71,,,
budu_frame1,,,71,,,
buhgalterija_frame1,,,103,71,,
buhgalterija_frame2,,,103,71,,
buhgalterskij uchet_frame1,,,103,71,,
buhgalterskij uchet_frame2,,,103,71,,
bul'on_frame1,,,71,,,
bul'on_frame2,,,71,,,
bulavka_frame2,,,111,,,
bumaga_frame2,,,1,1,,
burja_frame1,,,69,69,0,0
burja_frame2,,,69,69,0,0
burlenie; kipenie_frame1,,,103,103,,
burlenie; kipenie_frame2,,,103,103,,
burzhua_frame1,,,75,,,
busy_frame2,,,144,,,
buterbrod_frame1,,,71,71,,
buterbrod_frame2,,,71,71,,
butsy futbol'nye_frame1,,,1,71,,
butsy futbol'nye_frame2,,,95,71,,
butylka_frame2,,,24,,,
byk_frame1,,,68,,,
byk_frame2,,,68,,,
bystro_frame1,,,1,1,,
bystro_frame2,,,1,1,,
bystryj_frame1,,,14,14,,
bystryj_frame2,,,14,14,,
byt' dolzhnym_frame1,,,33,33,,
byt' dolzhnym_frame2,,,33,33,,
byt' nacheku_frame1,,,14,14,,
byt' nacheku_frame2,,,21,21,,
byt' potrjasennym_frame1,,,14,14,,
byt' sklonnym_frame1,,,70,71,,0
byt' sklonnym_frame2,,,70,71,,0
byt' sposobnym_frame1,,,71,,,
byt' sposobnym_frame2,,,71,,,
byt' vovlechennym_frame1,,,140,140,,
byt' vovlechennym_frame2,,,137,141,,
byvshij_frame1,,,87,,,
byvshij_frame2,,,87,,,
carapina_frame1,,,1,,,
carapina_frame2,,,13,,,
cel'_frame2,,,14,71,,
celovat'sja_frame1,,,34,34,,
celovat'sja_frame2,,,34,34,,
celovat'_frame1,,,34,,,
celovat'_frame2,,,34,,,
celyj_frame1,,,69,69,,
cena_frame2,,,39,71,,0
cennost'_frame2,,,74,71,,0
cennyj_frame1,,,125,,,
cennyj_frame2,,,125,,,
cenzura_frame1,,,59,,,
cenzura_frame2,,,59,,,
cep'_frame1,,,144,144,,
cep'_frame2,,,144,144,,
cepi_frame1,,,144,144,,
cepi_frame2,,,144,144,,
cerkov'_frame2,,,21,69,,
chajnik_frame2,,,30,,,
chasha_frame2,,,76,76,,
chashka_frame1,,,110,71,,
chashka_frame2,,,110,71,,
chastota_frame2,,,14,,,
chasy_frame1,,,144,,,
chas_frame2,,,14,,,
chehol_frame1,,,12,12,,
chehol_frame2,,,12,12,,
chelka_frame2,,,61,,,
chelovek_frame1,,,110,,,
chemodan_frame2,,,30,,,
chempion_frame1,,,71,,,
chempion_frame2,,,71,,,
cherepaha_frame1,,,71,71,,
cherepaha_frame2,,,71,71,,
cherez_frame1,,,14,14,,
cherez_frame2,,,14,14,,
chernyj_frame2,,,95,,,
chervjak_frame2,,,14,,,
cheshskaja respublika_frame1,,,75,,,
cheshskaja respublika_frame2,,,75,,,
chesnok_frame1,,,24,24,,
chesnok_frame2,,,24,24,,
chest'_frame2,,,125,125,,
chestnyj_frame1,,,125,125,,
chestnyj_frame2,,,125,125,,
chinit'_frame1,,,125,69,,
chislo data_frame1,,,125,,,
chislo_frame2,,,125,,,
chistit' zuby_frame2,,,14,,,
chistit'_frame1,,,69,69,,
chistit'_frame2,,,69,69,,
chistka zubov_frame2,,,14,,,
chistota_frame1,,,69,71,,
chistota_frame2,,,69,71,,
chistyj_frame1,,,69,71,,
chistyj_frame2,,,69,71,,
chto_frame1,,,14,,,
chulok_frame1,,,14,14,,
chulok_frame2,,,14,14,,
chuvstvitel'nyj_frame1,,,18,,,
chuvstvitel'nyj_frame2,,,18,,,
chuvstvovat'_frame1,,,18,,,
chuvstvovat'_frame2,,,18,,,
chuvstvo_frame2,,,18,,,
cilindr_frame1,,,76,76,,
cilindr_frame2,,,76,76,,
cirkul'_frame2,,,51,71,,
cirk_frame1,,,34,34,,
cirk_frame2,,,34,34,,
cvetochnyj_frame1,,,97,,,
cvetochnyj_frame2,,,2,,,
cvet_frame2,,,87,,,
d'javol_frame1,,,110,,,
d'javol_frame2,,,110,,,
dalekij_frame1,,,1,,,
dalekij_frame2,,,14,,,
daleko_frame1,,,14,,,
daleko_frame2,,,14,,,
danija_frame2,,,52,,,
darts_frame1,,,152,,,
dary_frame1,,,24,,,
dary_frame2,,,24,,,
davat'_frame1,,,141,,,
davat'_frame2,,,141,,,
davnym davno_frame1,,,71,71,,
davnym davno_frame2,,,71,71,,
dazhe_frame1,,,14,,,
dazhe_frame2,,,14,,,
debaty_frame2,,,13,13,,
dedushka_frame1,,,76,,,
defekacija_frame2,,,3,1,,
deficit_frame1,,,100,,,
deficit_frame2,,,100,,,
deformacija_frame1,,,97,97,,
degradirovat'_frame1,,,14,14,,
degradirovat'_frame2,,,14,14,,
dejatel'nost'_frame1,,,87,87,,
dejstvitel'no_frame2,,,14,14,,
dejstvitel'nyj_frame1,,,14,14,,
dekol'te_frame2,,,14,,,
dekorativnyj_frame2,,,137,137,,
del'fin_frame1,,,71,,,
del'fin_frame2,,,71,,,
delat' kroshe_frame1,,,14,14,,
delat' kroshe_frame2,,,14,14,,
delat' privivku_frame1,,,14,,,
delat' privivku_frame2,,,14,,,
delat'_frame2,,,1,1,,
delo_frame2,,,87,87,,
demokratija_frame1,,,144,144,,
demokratija_frame2,,,144,144,,
demonstracija_frame1,,,69,69,,
demonstracija_frame2,,,75,75,,
demon_frame1,,,15,,,
demon_frame2,,,21,,,
depressija_frame1,,,71,,,
derevo;derevjannyj_frame2,,,87,69,,
derevo_frame2,,,87,69,,
derzhat'_frame1,,,2,,,
derzhat'_frame2,,,2,,,
detektiv_frame2,,,45,45,,
detskij_frame1,,,68,,,
detskij_frame2,,,68,,,
detstvo_frame1,,,76,,,
Deva_frame1,,,70,,,
devochka_frame1,,,69,,,
devstvennica_frame2,,,38,,,
dezodorant_frame1,,,14,,,
dezodorant_frame2,,,21,,,
diagnosticheskij_frame1,,,59,59,,
diagnosticheskij_frame2,,,59,59,,
diagonal'nyj_frame1,,,13,,,
diagonal'nyj_frame2,,,13,,,
dialog_frame1,,,14,14,,
diareja_frame1,,,140,140,,
diareja_frame2,,,137,137,,
differenciacija_frame1,,,14,14,,
differenciacija_frame2,,,14,14,,
dikij kaban_frame2,,,68,,,
dikij_frame1,,,1,1,,
dikij_frame2,,,51,51,,
diktovat'_frame2,,,73,,,
